기준연도,지역,학교,유학생_전체계,전공_인문사회계열,전공_자연과학계열,전공_공학계열,전공_예체능계열,전공_의학계열,언어능력_합계(E),TOPIK_4급이상_충족,영어능력_충족,영어권_국적학생,언어능력_충족비율(%),유학생수_원본,언어비율_원본,유학생수_점수_70,언어능력_점수_30,외국인학생_점수
2025.0,경남,인제대학교,893,211,8,32,6,0,143,121,22,0,55.6,893.0,55.6,12.51200960768615,16.68,29.19200960768615
2025.0,인천,인천가톨릭대학교,6,6,0,0,0,0,2,2,0,0,33.3,6.0,33.3,0.08406725380304243,9.989999999999998,10.07406725380304
2025.0,인천,인천가톨릭대학교_제2캠퍼스,1,0,0,0,1,0,0,0,0,0,0.0,1.0,0.0,0.014011208967173738,0.0,0.014011208967173738
2025.0,인천,인천대학교,430,172,9,18,11,0,178,96,82,0,84.8,430.0,84.8,6.024819855884708,25.439999999999998,31.464819855884706
2025.0,인천,인하대학교,1954,745,27,305,15,1,765,263,502,0,70.0,1954.0,70.0,27.377902321857484,21.0,48.37790232185748
2025.0,서울,장로회신학대학교,5,4,0,0,1,0,2,2,0,0,40.0,5.0,40.0,0.07005604483586869,12.0,12.07005604483587
2025.0,광주,전남대학교,960,158,36,50,10,0,132,76,56,0,52.0,960.0,52.0,13.450760608486789,15.600000000000001,29.05076060848679
2025.0,전남,전남대학교_제2캠퍼스,149,112,5,27,0,0,84,10,74,0,58.3,149.0,58.3,2.0876701361088874,17.49,19.577670136108885
2025.0,전북,전북대학교,1112,323,34,223,25,0,443,192,249,2,73.2,1112.0,73.2,15.580464371497198,21.96,37.5404643714972
2025.0,전북,전주대학교,245,167,13,28,26,0,100,95,4,1,42.7,245.0,42.7,3.432746196957566,12.810000000000002,16.24274619695757
2025.0,제주,제주국제대학교,208,120,0,0,44,0,80,6,74,0,48.8,208.0,48.8,2.914331465172138,14.64,17.55433146517214
2025.0,제주,제주대학교,331,101,36,11,7,0,99,99,0,0,63.9,331.0,63.9,4.637710168134508,19.17,23.80771016813451
2025.0,광주,조선대학교,295,121,8,35,30,0,71,71,0,0,36.6,295.0,36.6,4.133306645316253,10.98,15.113306645316253
2025.0,충남,중부대학교,971,667,22,18,41,0,571,38,533,0,76.3,971.0,76.3,13.604883907125702,22.89,36.494883907125704
2025.0,서울,중앙대학교,4257,1898,32,286,12,5,1442,1435,6,1,64.6,4257.0,64.6,59.64571657325861,19.379999999999995,79.0257165732586
2025.0,경기,중앙대학교_제2캠퍼스,678,0,14,6,598,0,292,292,0,0,47.2,678.0,47.2,9.499599679743795,14.16,23.659599679743796
2025.0,경기,중앙승가대학교,4,4,0,0,0,0,0,0,0,0,0.0,4.0,0.0,0.05604483586869495,0.0,0.05604483586869495
2025.0,충북,중원대학교,172,68,5,4,77,0,57,14,43,0,37.0,172.0,37.0,2.409927942353883,11.1,13.509927942353883
2025.0,경기,차의과학대학교,29,29,0,0,0,0,29,0,29,0,100.0,29.0,100.0,0.4063250600480384,30.0,30.40632506004804
2025.0,경남,창신대학교,229,103,3,52,0,0,10,10,0,0,6.3,229.0,6.3,3.208566853482786,1.8900000000000001,5.098566853482787
2025.0,충남,청운대학교,458,268,2,65,15,0,63,44,19,0,18.0,458.0,18.0,6.417133706965572,5.3999999999999995,11.81713370696557
2025.0,충북,청주대학교,1952,851,2,582,281,0,41,41,0,0,2.4,1952.0,2.4,27.34987990392314,0.72,28.069879903923137
2025.0,전남,초당대학교,349,177,12,68,13,0,52,46,6,0,19.3,349.0,19.3,4.889911929543635,5.79,10.679911929543636
2025.0,서울,총신대학교,7,7,0,0,0,0,5,5,0,0,71.4,7.0,71.4,0.09807846277021616,21.42,21.51807846277022
2025.0,서울,추계예술대학교,45,9,0,0,36,0,0,0,0,0,0.0,45.0,0.0,0.6305044035228182,0.0,0.6305044035228182
